dataset,teacher,teacher_family,regret__NaiveKD,regret__PersistenceGateKD,regret__HardRejectSR,regret__SoftSR
AAPL,ESN,classical_control,0.09531281414453616,0.0,0.0,0.0
AAPL,RFF,classical_control,0.09912068088209314,0.0,0.0,0.0
ETTh1,ESN,classical_control,1.6103901570919235,0.0,0.5103854079273239,0.5103854079273239
ETTh1,RFF,classical_control,1.5653752562119119,0.0,0.0,0.0
ETTm2,ESN,classical_control,0.2200915643842377,0.0,-0.007956861024042815,-0.007956861024042815
ETTm2,RFF,classical_control,0.19214172518971476,0.0,-0.009091888680662307,-0.009091888680662307
Energy,ESN,classical_control,0.21296247137509386,0.0,0.0,0.0
Energy,RFF,classical_control,0.03906906962798466,0.0,0.0,0.0
Exchange,ESN,classical_control,1.5778868793599077,0.0,1.5778868793599077,1.5778868793599077
Exchange,RFF,classical_control,0.05240292117022923,0.0,0.051949426594073624,0.051949426594073624
Jena,ESN,classical_control,0.7300232602745191,0.0,0.0,0.0
Jena,RFF,classical_control,0.8117736108707854,0.0,0.0,0.0
