dataset,teacher,teacher_family,n_seeds,soft_regret_mean,soft_regret_std
AAPL,ESN,classical_control,5,0.0,0.0
AAPL,QELM,quantum,5,0.0,0.0
AAPL,QKRR,quantum,5,0.0,0.0
AAPL,QRC,quantum,5,0.0,0.0
AAPL,RFF,classical_control,5,0.0,0.0
AAPL,VQC,quantum,5,0.0,0.0
ETTh1,ESN,classical_control,5,0.5103854079273239,1.1867339435734086
ETTh1,QELM,quantum,5,0.0,0.0
ETTh1,QKRR,quantum,5,0.0,0.0
ETTh1,QRC,quantum,5,0.0,0.0
ETTh1,RFF,classical_control,5,0.0,0.0
ETTh1,VQC,quantum,5,0.0,0.0
ETTm2,ESN,classical_control,5,-0.007956861024042815,0.36758565669986776
ETTm2,QELM,quantum,5,-0.014224594598238119,0.03180716047403675
ETTm2,QKRR,quantum,5,-0.13497016454592797,0.2446626434246335
ETTm2,QRC,quantum,5,-0.04586273845915477,0.08890792992096148
ETTm2,RFF,classical_control,5,-0.009091888680662307,0.3578727412508379
ETTm2,VQC,quantum,5,-0.015909796294667235,0.035575386023050215
Energy,ESN,classical_control,5,0.0,0.0
Energy,QELM,quantum,5,0.0,0.0
Energy,QKRR,quantum,5,0.0,0.0
Energy,QRC,quantum,5,0.0,0.0
Energy,RFF,classical_control,5,0.0,0.0
Energy,VQC,quantum,5,0.0,0.0
Exchange,ESN,classical_control,5,1.5778868793599077,3.5998380507641854
Exchange,QELM,quantum,5,0.0,0.0
Exchange,QKRR,quantum,5,0.05644829747074174,0.12622223035870797
Exchange,QRC,quantum,5,0.0,0.0
Exchange,RFF,classical_control,5,0.051949426594073624,0.15591426103943917
Exchange,VQC,quantum,5,0.02640451995493756,0.05904230153249007
Jena,ESN,classical_control,5,0.0,0.0
Jena,QELM,quantum,5,0.0,0.0
Jena,QKRR,quantum,5,0.0,0.0
Jena,QRC,quantum,5,0.0,0.0
Jena,RFF,classical_control,5,0.0,0.0
Jena,VQC,quantum,5,0.0,0.0
