dataset,seed,teacher,teacher_family,eval_MASE__HardRejectSR,eval_MASE__NaiveKD,eval_MASE__PersistenceGateKD,eval_MASE__SoftSR,eval_MASE__Standalone,gate__HardRejectSR,gate__NaiveKD,gate__PersistenceGateKD,gate__SoftSR,gate__Standalone,regret__NaiveKD,regret__PersistenceGateKD,regret__HardRejectSR,regret__SoftSR
AAPL,11,ESN,classical_control,36.821621578793824,17.360222200667586,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,-0.5285318392749541,0.0,0.0,0.0
AAPL,11,QELM,quantum,36.821621578793824,25.51725685662638,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,-0.3070034462761905,0.0,0.0,0.0
AAPL,11,QKRR,quantum,36.821621578793824,25.490554830810307,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,-0.30772861873387086,0.0,0.0,0.0
AAPL,11,QRC,quantum,36.821621578793824,49.05395896394226,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,0.3322052875637948,0.0,0.0,0.0
AAPL,11,RFF,classical_control,36.821621578793824,18.41452356487945,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,-0.4998991686046582,0.0,0.0,0.0
AAPL,11,VQC,quantum,36.821621578793824,30.30099809353922,36.821621578793824,36.821621578793824,36.821621578793824,0.0,1.0,0.0,0.0,0.0,-0.17708680947962208,0.0,0.0,0.0
AAPL,23,ESN,classical_control,25.64094944139251,28.17655221595007,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.09888880208407198,0.0,0.0,0.0
AAPL,23,QELM,quantum,25.64094944139251,39.07786037349939,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.5240410836899628,0.0,0.0,0.0
AAPL,23,QKRR,quantum,25.64094944139251,30.050051545161004,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.17195549306184518,0.0,0.0,0.0
AAPL,23,QRC,quantum,25.64094944139251,40.07676150840963,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.5629983437240903,0.0,0.0,0.0
AAPL,23,RFF,classical_control,25.64094944139251,26.5170582091964,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.03416834348534594,0.0,0.0,0.0
AAPL,23,VQC,quantum,25.64094944139251,38.71310597794379,25.64094944139251,25.64094944139251,25.64094944139251,0.0,1.0,0.0,0.0,0.0,0.509815619988265,0.0,0.0,0.0
AAPL,37,ESN,classical_control,21.194860159839923,49.17775855368857,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,1.3202681302361559,0.0,0.0,0.0
AAPL,37,QELM,quantum,21.194860159839923,36.33954070522384,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,0.7145449618997769,0.0,0.0,0.0
AAPL,37,QKRR,quantum,21.194860159839923,47.65205842807761,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,1.2482836908907216,0.0,0.0,0.0
AAPL,37,QRC,quantum,21.194860159839923,36.7282338699202,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,0.7328839913514956,0.0,0.0,0.0
AAPL,37,RFF,classical_control,21.194860159839923,48.630791854545016,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,1.2944615575568066,0.0,0.0,0.0
AAPL,37,VQC,quantum,21.194860159839923,45.028118097848704,21.194860159839923,21.194860159839923,21.194860159839923,0.0,1.0,0.0,0.0,0.0,1.124482905679562,0.0,0.0,0.0
AAPL,51,ESN,classical_control,56.94467179359275,46.25823209283192,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.18766355769853146,0.0,0.0,0.0
AAPL,51,QELM,quantum,56.94467179359275,42.18648631615962,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.25916710049584785,0.0,0.0,0.0
AAPL,51,QKRR,quantum,56.94467179359275,35.38616339427695,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.3785869286850732,0.0,0.0,0.0
AAPL,51,QRC,quantum,56.94467179359275,49.95251352628584,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.12278863056145743,0.0,0.0,0.0
AAPL,51,RFF,classical_control,56.94467179359275,47.20361632267712,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.17106175457861997,0.0,0.0,0.0
AAPL,51,VQC,quantum,56.94467179359275,38.00991382790612,56.94467179359275,56.94467179359275,56.94467179359275,0.0,1.0,0.0,0.0,0.0,-0.3325114952689413,0.0,0.0,0.0
AAPL,79,ESN,classical_control,31.929885966842217,24.70104073821374,31.929885966842217,31.929885966842217,31.929885966842217,0.0,1.0,0.0,0.0,0.0,-0.2263974646240614,0.0,0.0,0.0
